Project-Title,Instructables-link,Creator,Subcategory,Favorites,Views
Pond-Jumping Ramp,/id/Pond-Jumping-Ramp/,qwertyboy,Bikes,33,17000
Nyan Cat Rocket,/id/Nyan-Cat-Rocket/,Deadendshop34,Rockets,48,20000
Pirate-esque Nerf Gun Conversion,/id/Pirate-esque-Nerf-Gun-Conversion/,piratemonkey,Launchers,177,88000
My Rickshaw,/id/My-Rickshaw/,urbanmx,Bikes,78,21000
"""Bleeding"" Ballistic Gel Target",/id/Bleeding-Ballistic-Gel-Target/,norbizzle12,Launchers,381,68000
Four Hour Kayak!,/id/Four-Hour-Kayak!/,Matin,Boats,101,73000
Solar Hot Air Balloon Message-in-a-Bottle,/id/Solar-Hot-Air-Balloon-Message-in-a-Bottle/,crrdlx,Kites,146,30000
Perfect (med/rare) campfire roast,/id/Perfect-medrare-campfire-roast/,combatbootboy,Camping,127,43000
Quick Change Electronic 2 Litre Water Rocket Launcher,/id/Quick-Change-Electronic-H20-Rocket-Launcher/,d2theyo,Rockets,27,6800
Teardrop Travel Trailer (added VIDEOS!),/id/Teardrop-Travel-Trailer/,Rob O,Camping,978,312000
One sheet Jonboat,/id/One-sheet-Jonboat/,Verga,Boats,197,35000
How to Build the Ultimate Survival Shotgun,/id/How-to-Build-the-Ultimate-Survival-Shotgun/,willowhavenoutdoor,Survival,1244,695000
Turn your Leather Work Boots into Severe Duty Boots,/id/Turn-your-Work-Boots-into-Severe-Duty-Boots/,ClassAct,Camping,101,141000
Slackline,/id/Slackline/,woofboy111,Sports,69,29000
Spill Free & Rodent Controlling Bird Feeder,/id/Spill-Free-Rodent-Controlling-Bird-Feeder/,the.duckman,Birding,28,12000
paintball sniper hopper/loader,/id/paintball-sniper-hopperloader-1/,jester_5123,Launchers,27,18000
The BO-AT Single Sheet Plywood Boat,/id/The-BO-AT-Single-Sheet-Plywood-Boat/,PaleoDan,Boats,515,177000
Air Cannon v3,/id/Air-Cannon-v3/,trebuchet03,Rockets,115,93000
Popsicle-Stick Catapault,/id/Popsicle-Stick-Catapault/,zjschafer,Siege Engines,109,96000
Improved Pyrotechnics Powder Management,/id/Improved-Pyrotechnics-Powder-Management/,Kryptonite,Rockets,23,4500
Go Rafting (on the cheap!),/id/Go-Rafting-on-the-cheap/,okayknockout,Water,90,86000
A Box Kite! (that's almost bigger than my wife!),/id/A-Box-Kite!-that-s-almost-bigger-than-my-wife!/,marcward86,Kites,98,46000
Wide Paracord Bracelet,/id/Wide-Paracord-Bracelet/,Falcon_WOG,Paracord,1917,1400000
Fishing with Altoids Tins,/id/Fishing-with-altoids/,A flyin muffin,Fishing,168,29000
Scouting Projects,/id/Scouting-Projects/,Z.Backas,Camping,204,61000
How to clean a hydration bladder,/id/How-to-clean-a-hydration-bladder/,skaterqwertyuiop,Bikes,27,29000
Cheap and Easy Gravity Water Filter,/id/Cheap-and-Easy-Gravity-Water-Filter/,jemor143,Survival,131,58000
Galaxy Slide with Rock Wall,/id/Galaxy-Slide-with-Rock-Wall/,Kaisei13,Backyard,31,3900
How To Repair A Scratched Wooden Oar,/id/How-To-Repair-A-Scratched-Wooden-Oar/,da animal freak,Boats,8,2100
Paracord Boonie Hat Wrap,/id/Paracord-Boonie-Hat-Wrap/,Stormdrane,Paracord,505,45000
How to Make a Cardboard Canoe for your Kids in the Pool,/id/How-to-Make-a-Cardboard-Canoe-for-your-Kids-in-the/,vatosupreme,Boats,350,156000
"Climb Safe With A ""Figure 8 Knot""",/id/Climb-Safe-With-A-Figure-8-Knot/,mattste,Climbing,135,261000
Paracord Bracelet Fixture/Jig,/id/Paracord-Bracelet-FixtureJig/,MacGyver9,Knots,965,249000
A little boat,/id/A-little-boat/,tdem,Boats,116,15000
Ultra light weight cord locks,/id/Ultra-light-weight-cord-locks/,Cambronze,Camping,67,9400
Cardboard Skateboard,/id/Cardboard-Skateboard/,JoeMurphy,Skateboarding,60,26000
Compressed Air Rockets,/id/compressed-air-rockets/,mikeasaurus,Rockets,117,43000
How to find 'Polaris' - the North Star,/id/How-to-find-Polaris-the-North-Star/,ATTILAtheHUNgry,Survival,93,263000
Altoids Portable BBQ !!,/id/Altoids-Portable-BBQ-/,=SMART=,Camping,281,131000
How to Rebuild a Bicycle Front Wheel Hub Using Simple Tools,/id/Rebuilding-a-Bicycle-Front-Wheel-Hub-Using-Simple-/,ouggnoy,Bikes,62,92000
"""The Insensible"" - a counterweight trebuchet",/id/The-Insensible-a-counterweight-trebuchet/,squiggy2,Siege Engines,75,60000
Learn Basic Breakdancing Freezes and Footwork,/id/Learn-Basic-Breakdancing-Freezes-and-Footwork/,Midnight181,Sports,56,159000
Cardboard Trebuchet,/id/Cardboard-Trebuchet/,sphsengineering,Siege Engines,92,24000
Free Yacht Chapter 7: Get an Even Better One and Fabulize it.,/id/Free-Yacht-Chapter-7:-Get-an-Even-Better-One-and-F/,TimAnderson,Boats,141,87000
make your own charcoal,/id/make-your-own-charcoal/,windstalker1992,Camping,161,55000
The Ultimate Squirt Gun - Build a WATERZOOKA!,/id/The-Ultimate-Squirt-Gun-Build-a-WATERZOOKA/,funtelligent,Water,128,54000
Squirrel deterrent for bird feeder,/id/Squirrel-deterent-for-bird-feeder/,wallacmb,Birding,14,10000
Steel and Wood Bicycle Cargo Rack,/id/Steel-and-Wood-Bicycle-Cargo-Rack/,jrh065,Bikes,122,22000
Portage cart for canoes and kayaks,/id/Portage-cart-for-canoes-and-kayaks/,Lorddrake,Boats,444,188000
Make a Vacuum-cleaner Bazooka,/id/Make-a-Vacuum-cleaner-Bazooka/,ynze,Rockets,302,78000
Celtic Button Knot,/id/Celtic-Button-Knot/,Stormdrane,Knots,813,146000
Mercury Joe: Semi-scale flying GI Joe Redstone Rocket,/id/Mercury-Joe-semi-scale-GI-Joe-Redstone-Rocket/,JamieClay,Rockets,104,23000
Mini Clothespin Catapult And Crossbow,/id/Mini-clothespin-catapult/,vishalapr,Siege Engines,119,47000
Cross Knot Paracord Lanyard,/id/Cross-Knot-Paracord-Lanyard/,Stormdrane,Knots,2029,564000
Giving your bike its weekly clean and tidy.,/id/Giving-your-bike-its-weekly-clean-and-tidy/,killerjackalope,Bikes,110,82000
Jedi Gym Bob,/id/Jedi-Gym-Bob/,kristylynn84,Sports,18,4900
DIY Bike Rollers,/id/DIY-Bike-Rollers/,Sky-Monkey,Bikes,444,347000
The Curiously Strong Trebuchet:  A Pocket Sized Medieval Siege Engine,/id/The-Curiously-Strong-Trebuchet-A-Pocket-Sized-Me/,Ethanal,Siege Engines,164,66000
"""Ghillied up"" How to make a ghillie paintball gun",/id/Ghillied-Up-How-to-make-a-ghillie-paintball-gun/,MrAngryPants,Launchers,32,23000
Make a simple bike lock (0-10 dollars),/id/Make-a-simple-bike-lock-0-10-dollars/,kill.cactus,Bikes,27,63000
Pink Flamingo Croquet,/id/Pink-Flamingo-Croquet/,Peterdaughter,Sports,56,35000
DIY bike whitewalls with PVC tape,/id/DIY-bike-whitewalls-with-PVC-tape/,Vranov,Bikes,67,31000
Motorized Drift Trike!!!,/id/Motorized-Drift-Trike/,josh333,Bikes,480,634000
Funky McGroovy Frizbee Throwing Guide,/id/Funky-McGroovy-Frizbee-Throwing-Guide/,Funky Mcgroovy,Sports,5,2000
Accelerometer-controlled LED Bike Helmet,/id/Accelerometer-controlled-LED-Bike-Helmet/,dukode,Bikes,8,13000
Priming Wick for Alcohol Stove [and Pot Stand],/id/Priming-Wick-for-Alcohol-Stove-and-Pot-Stand/,JohanJShaw,Camping,153,32000
Garden Hose Water Gun for Hero Dads,/id/Garden-Hose-Water-Gun-for-Hero-Dads/,bgepp1,Water,202,58000
How to Construct a Simple Boat,/id/How-to-Construct-a-Simple-Boat/,notjustsomeone,Boats,271,143000
RUP,/id/RUP/,mattrush,Knots,74,14000
"DIY Human Powered Wooden Hydrofoil  - The ""Hydrothopter""",/id/DIY-Human-Powered-Hydrofoil----The-%22Hydrothopter%22/,TimAnderson,Kites,241,135000
Launch It: Torsion Spring Catapult ,/id/Launch-It:-Torsion-Spring-Catapult/,i make shooting things,Siege Engines,120,71000
Paintball Pod Quick Loader Mobile Station,/id/Paintball-Pod-Quick-Loader-Mobile-Station/,Byoung4now,Launchers,32,9200
Plywood kiteboard,/id/Plywood-kiteboard/,ewilhelm,Water,107,81000
Making new marine vinyl boat seats,/id/Making-new-marine-vinyl-boat-seats/,jskingry,Boats,118,247000
Flashlight Duct Tape Dispenser,/id/Flashlight-Duct-Tape-Dispenser/,ehudwill,Survival,17,5000
Duct Tape Kayak,/id/Duct-Tape-Kayak/,ineverfinishanyth,Water,255,71000
PSU Device for Women from Duct Tape,/id/PSU-Device-from-Duct-Tape/,susanrm,Camping,86,36000
Camouflage Net,/id/Camouflage-Net/,jsnmallory,Camping,84,17000
Duct Tape/Bamboo/Drop Cloth 'WingKite',/id/Duct-TapeBambooDrop-Cloth-WingKite/,LeonArchiTesla,Kites,107,15000
Image Capturing Bird Feeder,/id/Image-Capturing-Bird-Feeder/,quasiben,Birding,90,36000
Duct Tape and PVC Kayak,/id/Duct-Tape-and-PVC-Kayak/,hyroc346,Boats,221,92000
Funky McGroovy Duct Tape Survival Umbrella,/id/Funky-McGroovy-Duct-Tape-Survival-Umbrella/,Funky Mcgroovy,Survival,25,6400
LED Poi,/id/LED-Poi/,Thursday,Backyard,87,19000
Beach Party in a Bag,/id/beach-party-in-a-bag/,mikeasaurus,Beach,23,4500
Paracord Laptop Harness,/id/Paracord-Laptop-Harness/,AlienVanguard,Paracord,543,53000
Solar Charged LED Running Light with Flashing Brake Light For Bicycles,/id/Solar-Charged-LED-Running-Light-with-Flashing-Brak/,hackmattr,Bikes,54,7700
"Water Table, for the Kids",/id/Water-Table-for-the-Kids/,theerikjohnson,Water,772,201000
DIY harness for climbing,/id/DIY-harness-for-climbing/,bkb2,Climbing,352,59000
Bolo Toss / Ladder Golf A Stable Version,/id/Bolo-Toss-Ladder-Golf-A-Stable-Version/,FewAcres,Camping,53,11000
Very Simple Kite,/id/Very-Simple-Kite/,Verdantic,Kites,163,157000
Hotrod bike trailer,/id/Hotrod-bike-trailer/,fischer99,Bikes,83,9200
DIY Archery Target - Puzzle Mats,/id/DIY-Archery-Target-Puzzle-Mats/,tukmol,Sports,185,342000
Duct Tape Hammock,/id/Duct-Tape-Hammock-1/,Dadzilla,Camping,477,159000
Use a Vacuum cleaner to build your own Skateboard ,/id/Use-a-Vacuum-cleaner-to-build-your-own-Skateboard/,Georg Lavoie,Skateboarding,481,322000
Giant Slip and Slide,/id/Giant-Slip-and-Slide/,awsumpawsum,Water,186,127000
Roof top car camper,/id/Roof-top-car-camper/,Idea Studio 22,Camping,309,177000
Simple STP (stand to pee) device (for women and transfolk),/id/Simple-STP-stand-to-pee-device-for-women-and-tr/,combatbootboy,Camping,87,44000
How I make money with an Instructable.,/id/How-I-made-money-with-an-Instructable-wwwcamerac/,bertus52x11,Bikes,33,13000
The (New) Sawtooth Paracord Bracelet Weave,/id/The-Sawtooth-Paracord-Bracelet-Weave/,knota,Knots,1713,380000
How to Modify a camping grill with side burner,/id/Camping-grill-on-Steroids/,coolbeansbaby68,Camping,17,13000
Emergency candle.,/id/Emergency-candle/,DenseJungle,Camping,185,17000
Adjustable Paracord Belt,/id/Adjustable-Paracord-Belt/,jurienaude,Paracord,252,58000
Duct Tape Typhoon Pants,/id/Duct-tape-Typhoon-Pants/,ATTILAtheHUNgry,Survival,75,10000
Slime Your Presta Valve Bicycle Tubes,/id/Slime-Your-Presta-Valve-Bicycle-Tubes/,Phil B,Bikes,31,160000
PARACORD GERM GRENADE,/id/PARACORD-GERM-GRENADE/,SyberProdigy,Paracord,1024,185000
Practice Paracord Nunchaku,/id/Practise-Paracord-Nunchaku/,murak,Paracord,515,63000
Emergency Duct Tape Field Stretcher,/id/Emergency-Duct-Tape-Field-Stretcher/,cloudifornia,Survival,89,20000
Multi-Color Monkey Fist,/id/Multi-Color-Monkey-Fist/,TripWir3,Knots,1065,446000
Be an Aeronautical Scientist: Make your Own Jet Engine for a few Pennies.,/id/Be-an-Aeronautical-Scientist:-Make-your-Own-Jet-En/,Kiteman,Rockets,170,191000
120' Bazooka Powered Longshot,/id/Nerf-Longshot-Bazooka-Powered/,cyberviper42,Launchers,102,23000
Duct Tape in Your First Aid Kit,/id/Duct-Tape-in-your-First-Aid-Kit/,ehudwill,Survival,57,43000
Pocket Catapult,/id/Pocket-Catapult/,MrF_DT_teacher,Siege Engines,187,20000
Water Proof Pouches,/id/White-Water-Pouches/,Mrballeng,Water,176,17000
Quick-n-Dirty Trebuchet,/id/Quick-n-Dirty-Trebuchet/,SFHandyman,Siege Engines,72,53000
Vans Roller Skates,/id/Vans-Roller-Skates/,tk1314,Skateboarding,117,75000
"Ancient Celtic ""War Paint"" Sunscreen",/id/Ancient-Celtic-War-Paint-Sunscreen/,WayfinderAli,Survival,46,14000
Fixing a Plastic (polyethylene) Kayak With a Hole in It,/id/Fixing-a-plastic-polyethylene-kayak-with-a-hole-/,WayfinderAli,Boats,78,209000
How to Make a Mini Cannon from a BBQ Lighter,/id/How-to-Make-a-Mini-Cannon-from-a-BBQ-Lighter/,NightHawkInLight,Launchers,852,133000
COOLer Tunes,/id/COOLer-Tunes/,spfstr,Water,76,36000
How to make a geocache,/id/How-to-make-a-geocache/,matthewja,Hunting,52,89000
My version of a YAK Bike Trailer,/id/My-version-of-a-YAK-Bike-Trailer/,djnutz,Bikes,308,89000
Paracord Strap Wrap,/id/Paracord-Strap-Wrap/,mattrush,Paracord,641,138000
Turn a Can Tab into a Survival Fish Hook,/id/How-to-turn-a-bottle-tab-into-a-survival-fish-hook/,McNoodle,Fishing,441,87000
Paracord Wrap Bottle,/id/Paracord-Wrap-Bottle/,elco_chan,Paracord,1960,534000
Brunch on the Rocks,/id/Brunch-on-the-Rocks/,PenfoldPlant,Climbing,28,10000
Easy Paracord Drawstring Pouch!,/id/Easy-Paracord-Drawstring-Pouch/,snipir,Paracord,1504,292000
How to make strike anywhere matches,/id/Strike-anywhere-matches/,benny8025,Survival,495,348000
Wood Bike 2,/id/Wood-Bike-2/,HanzieO,Bikes,332,66000
Make a Muffler/Tailpipe for your bicycle.,/id/Make-a-MufflerTailpipe-for-your-bicycle/,rainger,Bikes,44,14000
Mountain Bicycle Chopper,/id/Mountain-Bike-Chopper/,hxwhxw,Bikes,92,48000
Dual Inner Tube Bike Bags,/id/Dual-Inner-Tube-Bike-Bags/,sunshiine,Bikes,18,6500
Regenerative Braking for Bicycle Safety,/id/Regenerative-Braking-for-Bicycle-Safety/,lovelikerobots,Bikes,179,39000
Gravity Bike,/id/Gravity-Bike/,Harlan Whitman,Bikes,778,203000
Garden Ornament and Bird Feeder,/id/Garden-Ornament-and-Bird-Feeder/,cattan,Birding,30,9300
Leave a Trail of flowers as you cycle through the wastelands.(+ bonus material),/id/Leave-a-Trail-of-flowers-as-you-cycle-through-the-/,FriendOfHumanity,Bikes,27,7000
Bicycle Breakfast Bar,/id/Bicycle-Breakfast-Bar/,FriendOfHumanity,Bikes,26,10000
How To Fix a Bike Chain,/id/How-To-Fix-a-Bike-Chain/,dan,Bikes,100,301000
How to DIY a Simple Tree Swing,/id/How-to-DIY-a-Simple-Tree-Swing/,kiate,Backyard,74,61000
How to make a trailer mounted bike sound system,/id/How-to-make-a-trailer-mounted-bike-sound-system/,TheOnlyShasta9,Bikes,49,24000
Motorcycle Guide (Maintenance + Projects),/id/Motorcycle-Guide-Maintenance-Projects/,mikeasaurus,Bikes,177,21000
License Plate Bike Fender,/id/License-Plate-Bike-Fender/,lxc6,Bikes,75,13000
Make a light-duty block and tackle,/id/Make-a-light-duty-block-and-tackle/,oompa,Knots,127,41000
Clay-Sawdust Water Filters,/id/Clay-Sawdust-Water-Filters/,Danger is my middle name,Camping,95,50000
Complete Tandem Bike Build,/id/Complete-Tandem-Bike-Build/,SCHLEPIC,Bikes,136,64000
Water Filtration using Fabric,/id/Water-Filtration-using-Fabric/,Danger is my middle name,Water,45,84000
Pencil Bike,/id/Pencil-Bike/,ellenhereandthere,Bikes,120,33000
Paper Bricks - free fuel from recycled paper,/id/Paper-Bricks-free-fuel-from-recycled-paper/,adsandy,Camping,523,281000
Build a Bamboo Bicycle (And Light it up!),/id/Build-a-Bamboo-Bicycle-And-Light-it-up/,ben_k,Bikes,567,241000
Carbon Fiber Bike,/id/Carbon-Fiber-Bike/,Pankake,Bikes,231,122000
Laterally Slide-able Board (freeboard for the rest of us),/id/Laterally-Slide-able-Board-freeboard-for-the-rest/,jfaneumann,Skateboarding,185,80000
Make a Mini Recumbent from a Kid Bike,/id/Make-a-Mini-Recumbent-from-a-Kid-Bike/,Woodenbikes,Bikes,97,33000
Awesome Firestarters from Everyday Bathroom Objects,/id/Awesome-Firestarters-from-Everyday-Bathroom-Object/,pandadude,Survival,217,57000
How to make a bike worm racer,/id/How-to-make-a-bike-worm-racer/,maxstevenson,Bikes,7,19000
Bullet Bill Rocket,/id/Bullet-Bill-Rocket/,seamster,Rockets,352,77000
Motorcycle Whack-bonk,/id/motorcycle-whack-bonk/,mikeasaurus,Bikes,43,27000
Red Baron Child's Bicycle Trailer,/id/Red-Baron-Childs-Bicycle-Trailer/,tmherrin,Bikes,166,37000
Dinabike,/id/Dinabike/,ajtorres,Bikes,110,28000
Clubhouse - Fort - Castle - No Adults Allowed!!,/id/Clubhouse-No-Adults-Allowed/,airrob,Backyard,428,85000
Semi-Auto Longshot 2,/id/Semi-Auto-Longshot-2/,Philysteak527,Launchers,59,25000
"""Building a One sheet boat"" Alternate Building",/id/Building-a-One-sheet-boat-Alternate-Building/,lazarus441,Boats,330,70000
Old bike freewheel cleaning,/id/Old-bike-freewheel-cleaning/,yawneth,Bikes,35,38000
Inflatable Sailboat,/id/Inflatable-Sailboat/,j_enzo,Boats,91,57000
Powercranks for less than $ 6.00,/id/Powercranks-for-less-than-600/,Ob1kn0b,Bikes,84,88000
How To Ghostride a Bike,/id/How-To-Ghostride-a-Bike/,dan,Bikes,33,77000
Buying a boat online: Adventures of Lil Putt Restoration,/id/Buying-a-boat-online-Adventures-of-Lil-Putt-Resto/,westcoastbuilders,Boats,71,29000
Propane Tank-ard Insulated Beverage Bottle,/id/Propane-Tank-ard/,hpstoutharrow,Camping,279,71000
Easy Backyard Catapult for Hero Dads,/id/Easy-Backyard-Catapult-for-Hero-Dads/,bgepp1,Siege Engines,220,268000
Snosasaurus: A Snow Sculpture,/id/Snosasaurus-A-Snow-Sculpture/,nimoz,Snow,5,2500
Pedal Powered EL Wire Bike,/id/Pedal-Powered-EL-Wire-Bike/,samsmith17,Bikes,276,78000
Hammer Time! Bike Trailer,/id/Hammer-Time-Bike-Trailer/,sharpie.stories,Bikes,119,26000
What Not to Build: Drunk Bike,/id/What-Not-to-Build-Drunk-Bike/,TheMadTinker,Bikes,37,37000
"Sculpt a ""Snofa""",/id/Build-a-snow-couch/,Z.Backas,Snow,49,13000
Polar Cola Bear!,/id/Polar-Cola-Bear/,mekoolu,Snow,31,7700
Rope Rings,/id/Rope-Rings/,hpstoutharrow,Knots,419,103000
How to make a backyard igloo with powdery snow,/id/Making-an-igloo-on-a-snowy-day/,_bradylee,Snow,47,139000
How to make snow boots (without the snow boots),/id/How-to-make-snow-boots-without-the-snow-boots/,flairness,Snow,37,134000
How to wax a toboggan,/id/How-to-wax-a-toboggan/,friger,Snow,21,55000
Building a Monster Play Slide,/id/Building-a-Monster-Play-Slide/,incendiac,Backyard,55,129000
Making Gourd Birdhouses,/id/Making-Gourd-Birdhouses/,calischs,Birding,118,109000
Pickle Jar Minnow Trap,/id/Pickle-Jar-Minnow-Trap/,roussinjoe,Survival,230,85000
Ballistic Upgrade for Canadian Forces,/id/Ballistic-Upgrade-for-Canadian-Forces/,Miauriel181,Survival,29,43000
STAR WARS IN THE SNOW,/id/STAR-WARS-IN-THE-SNOW/,mcanderson76,Snow,30,11000
Giant Snow Ramp,/id/Giant-Snow-Ramp/,Evan2010,Snow,85,41000
THE ICE DRAGON:,/id/THE-ICE-DRAGON/,cdawisconsin,Snow,9,3700
How to make a Calvin and Hobbes Snowman,/id/How-to-make-a-Calvin-and-Hobbes-Snowman/,splazem,Snow,50,27000
Hard Tack,/id/Hard-Tack/,frenzy,Survival,287,83000
Fix a flat bike tire - the Way of the Innertube,/id/Fix-a-flat-bike-tire-the-Way-of-the-Innertube/,dan,Bikes,58,68000
Slatts Paracord Rescue Bracelet (no buckle),/id/Slatts-Paracord-Rescue-Bracelet-no-buckle/,JonTheAnt,Knots,760,280000
Snow Hand,/id/Snow-Hand/,PenfoldPlant,Snow,127,33000
SpongeBob SquarePants Snow Sculpture in Color,/id/SpongeBob-SquarePants-Snow-Sculpture-in-Color/,one-lightbulb,Snow,4,4500
"Snow Saw, part 2: Midlife crisis on a budget",/id/Snow-Saw-part-2-Midlife-crisis-on-a-budget/,iminthebathroom,Snow,8,7100
Making a West Greenland Style Kayak Paddle,/id/Making-a-West-Greenland-style-Kayak-Paddle/,rentmej,Boats,103,101000
How to clean your climbing rope!,/id/How-to-clean-your-climbing-rope/,The Insomniac,Climbing,193,105000
Fixing the elastic band on a bicycle pannier bag,/id/Fixing-the-elastic-band-on-a-bicycle-pannier-bag/,calischs,Bikes,10,7000
Antique Bicycle,/id/Antique-Bicycle/,carlitos,Bikes,343,144000
Adult Johnny Jumper,/id/Suspension-seat/,zieak,Climbing,105,62000
Semi-Automatic NERF Longshot,/id/Semi-Automatic-NERF-Longshot/,Philysteak527,Launchers,189,150000
DIY Stomp Rockets,/id/DIY-Stomp-Rockets/,Emsaid,Rockets,98,105000
filming boat,/id/%3E-filming-boat-%3C/,cesar harada,Water,218,74000
Refurbished folding lawn chair with repurposed materials,/id/Refurbished-folding-lawn-chair-with-repurposed-mat/,zieak,Camping,75,25000
Bike Party Sound Trailer,/id/Bike-Party-Sound-Trailer/,dan,Bikes,170,60000
Composite sandwich skateboard,/id/Composite-sandwich-skateboard/,psychsurf,Skateboarding,152,101000
Duct Tape Backpacking Pack,/id/Duct-Tape-Backpacking-Pack/,murple,Camping,129,26000
Paracord watchband/bracelet with a side release buckle,/id/Paracord-watchbandbracelet-with-a-side-release-bu/,Stormdrane,Survival,1446,651000
ADAPTIVE PADDLING FIXTURE FOR KAYAKING,/id/ADAPTIVE-PADDLING-FIXTURE-FOR-KAYAKING/,kayakdiver,Water,39,22000
How to make an Ammo can stove,/id/Ammo-can-stove/,donkeycat,Camping,376,82000
insulated duct tape winter coat,/id/insulated-duct-tape-winter-coat/,ostomesto,Snow,63,17000
Duct Tape Handbag,/id/Duct-Tape-Handbag/,Riceman,Camping,165,69000
Duct Tape Hiking Gaiters,/id/Duct-Tape-Hiking-Gaiters/,squeakykeek,Camping,86,22000
Pink Molly Lighted Cruiser Bike,/id/Pink-Molly-Lighted-Cruiser-Bike/,dan,Bikes,141,27000
FISHSTICK (Ripstik / Waveboard),/id/Fishstick-alternative-Ripstik-Waveboard/,bertus52x11,Skateboarding,58,24000
Make a Bikers LED Light. Flip-flopping.,/id/Make-a-Bikers-LED-Light-Flip-flopping/,ynze,Bikes,66,11000
Home Made Hot Tub For the Football Tailgates!,/id/Home-Made-Hot-Tub-For-the-Football-Tailgates/,russell.damm,Sports,72,80000
Customized Bicycle Ditty Bag,/id/Customized-Bicycle-Ditty-Bag/,SCHLEPIC,Bikes,120,15000
Build a Bicycle Sidecar,/id/Build-a-Bicycle-Sidecar/,stevebod,Bikes,875,347000
"A Backyard Path that says ""We're going Places""",/id/A-Backyard-Path-that-says-Were-going-Places/,Pkranger88,Backyard,155,31000
Easy Single-Can Backpacking Stove,/id/Easy-Single-Can-Backpacking-Stove/,charlie.nourse,Survival,242,158000
Galoshes from inner tubes and ATV tire tread,/id/Galoshes-from-inner-tubes-and-ATV-tire-tread/,zieak,Survival,166,31000
Sewn Bike Innertube Chainstay Protector,/id/Sewn-Bike-Innertube-Chainstay-Protector/,plasticvicar,Bikes,45,26000
Homemade Bicycle Trailer,/id/Homemade-Bicycle-Trailer/,calischs,Bikes,123,38000
PET Bottle Fish Trap (Trampa de PET para peces),/id/FEC-FastEasyCheap-fish-trap-with-two-soda-bott/,rimar2000,Fishing,128,66000
Build A Bicycle Ramp,/id/Build-A-Bicycle-Ramp/,lee_schnitz,Bikes,152,277000
build a backyard barbecue!,/id/build-a-backyard-barbecue!/,hivoltage,Backyard,1350,487000
Ripstick Under-body Kit,/id/Ribstick-Under-body-Kit/,metsfan1938,Skateboarding,15,12000
Duct Tape Hammock,/id/Duct-Tape-Hammock/,sitzikbs,Camping,148,56000
Automatic bicycle pump,/id/Automatic-bicycle-pump/,Aleksi,Bikes,116,72000
Bike Mudflaps,/id/Bike-Mudflaps/,hackin5hit,Bikes,39,13000
Make Your Own Hauler/Pot Lifter (15 mins; $3),/id/Pot-LifterHauler-Quick-Easy-Cheap/,AngryRedhead,Knots,64,40000
Delta Trike with Front Wheel Drive,/id/Delta-Trike-with-Front-Wheel-Drive/,bikeframe,Bikes,85,41000
Bike Trailer,/id/Bike-Trailer-1/,onrust,Bikes,81,24000
Quick Easy Waterproof Flashlight using an inner tube,/id/Quick-Easy-Waterproof-Flashlight-using-an-inner-tu/,ElusiveGreen,Water,71,37000
Galoshes from inner tubes and ATV tire tread,/id/Galoshes-from-inner-tubes-and-ATV-tire-tread/,zieak,Survival,166,31000
Sewn Bike Innertube Chainstay Protector,/id/Sewn-Bike-Innertube-Chainstay-Protector/,plasticvicar,Bikes,45,26000
Homemade Bicycle Trailer,/id/Homemade-Bicycle-Trailer/,calischs,Bikes,123,38000
PET Bottle Fish Trap (Trampa de PET para peces),/id/FEC-FastEasyCheap-fish-trap-with-two-soda-bott/,rimar2000,Fishing,128,66000
Build A Bicycle Ramp,/id/Build-A-Bicycle-Ramp/,lee_schnitz,Bikes,152,278000
build a backyard barbecue!,/id/build-a-backyard-barbecue!/,hivoltage,Backyard,1350,487000
Ripstick Under-body Kit,/id/Ribstick-Under-body-Kit/,metsfan1938,Skateboarding,15,12000
Duct Tape Hammock,/id/Duct-Tape-Hammock/,sitzikbs,Camping,148,56000
Automatic bicycle pump,/id/Automatic-bicycle-pump/,Aleksi,Bikes,116,72000
Bike Mudflaps,/id/Bike-Mudflaps/,hackin5hit,Bikes,39,13000
Make Your Own Hauler/Pot Lifter (15 mins; $3),/id/Pot-LifterHauler-Quick-Easy-Cheap/,AngryRedhead,Knots,64,40000
Delta Trike with Front Wheel Drive,/id/Delta-Trike-with-Front-Wheel-Drive/,bikeframe,Bikes,85,41000
Bike Trailer,/id/Bike-Trailer-1/,onrust,Bikes,81,24000
Quick Easy Waterproof Flashlight using an inner tube,/id/Quick-Easy-Waterproof-Flashlight-using-an-inner-tu/,ElusiveGreen,Water,71,37000
Multi-function Walking Stick III -  Torch Bearer,/id/Multi-function-Walking-Stick-III-Torch-Bearer/,hpstoutharrow,Camping,781,75000
How to Make a Longboard,/id/How-to-Make-a-Longboard-1/,Ninjanator,Skateboarding,262,78000
Building Skateboards Out of Wood Waterskis,/id/Building-Skateboards-Out-of-Wood-Waterskis/,Built To Shred,Skateboarding,152,32000
"Homemade Wakeboard, Wakeskate Winch From BeachWinches.com",/id/Homemade-Wakeboard-Wakeskate-Winch-From-BeachWinc/,Mr Gollahon,Water,202,273000
Duct Tape Snowshoes from Scratch,/id/Gorilla-TapeGorilla-Glue-Snowshoes-from-Scratch/,rabidsquire2,Snow,131,63000
Mini Altoid Gas Grill,/id/Mini-Altoid-Gas-Grill/,HM-Innovations,Camping,223,54000
Bike Camping in Japan- on a Shoestring,/id/Bike-Touring-in-Japan-on-a-shoestring/,diane whitmore,Camping,132,75000
Bent Plywood Bicycle,/id/Bent-Plywood-Bicycle/,LongToe,Bikes,671,163000
